id,title,organization,url,publication_date,last_updated,country,geography_relevance,domain_topic,document_type,trust_level,language,summary,key_topics,compliance_notes,use_case_tags,citation
TH-BOT-001,"Responsible Lending Notification (SorKorChor. 7/2566)","Bank of Thailand (BOT)",https://www.bot.or.th/en/financial-institutions/financial-consumer-protection/responsible-lending.html,2023-01-01,2025-01-01,Thailand,primary,regulatory_compliance,regulation_notification,authoritative,th+en,"BOT's core responsible lending framework requiring ability-to-repay assessments, DSR limits, and Risk-Based Pricing requirements. Updated Jan 2025.","ability_to_repay; DSR; RBP; consumer_protection","Primary Thai regulatory anchor for any credit scoring system. Non-compliance = supervisory sanctions.","credit_assessment; regulatory_compliance; thai_market; responsible_lending","Bank of Thailand. (2023, updated 2025). Responsible Lending Notification (SorKorChor. 7/2566). Bank of Thailand."
TH-BOT-002,"Debt Service Ratio (DSR) Macroprudential Policy","Bank of Thailand (BOT)",https://www.bot.or.th/en/financial-system/macro-prudential-policy/debt-service-ratio.html,2023-01-01,2025-01-01,Thailand,primary,regulatory_compliance,policy_document,authoritative,th+en,"BOT macroprudential policy setting maximum DSR thresholds by loan type to prevent household over-leveraging. Core hard constraint for credit underwriting models.","DSR_cap; loan_type_limits; income_verification; macroprudential","DSR computation must be embedded as a hard constraint in the credit scoring pipeline, not just a feature.","dsr; underwriting_rules; thai_market; macroprudential","Bank of Thailand. (2023). Debt Service Ratio Macroprudential Policy. Bank of Thailand."
TH-BOT-003,"Risk-Based Pricing (RBP) Regulatory Sandbox","Bank of Thailand (BOT)",https://www.bot.or.th/en/financial-institutions/financial-innovation/regulatory-sandbox.html,2022-01-01,2024-01-01,Thailand,primary,regulatory_compliance,policy_document,authoritative,th+en,"BOT sandbox allowing rate differentiation based on individual credit risk scores. Requires model transparency and fairness demonstration.","risk_based_pricing; sandbox; model_transparency; fairness","AI credit scoring feeding pricing decisions may be subject to RBP sandbox requirements.","risk_based_pricing; regulatory_sandbox; thai_market; pricing_model","Bank of Thailand. (2022, updated 2024). Risk-Based Pricing Regulatory Sandbox. Bank of Thailand."
TH-NCB-001,"National Credit Bureau (NCB) Thailand — Credit Score Overview","National Credit Bureau (NCB)",https://www.ncb.co.th/en/,2020-01-01,2024-01-01,Thailand,primary,credit_scoring_fundamentals,institutional_guide,authoritative,th+en,"Thailand's official credit bureau. Score range 300–900 based on payment history, utilization, history length, mix, inquiries. Thin-file problem: many Thais lack NCB history.","ncb_score; score_factors; credit_bureau; thin_file","NCB data use must comply with PDPA and NCB member data-sharing agreements.","credit_bureau; thai_market; credit_score; thin_file","National Credit Bureau. (2024). NCB Credit Score Overview. National Credit Bureau of Thailand."
TH-PDPA-001,"Personal Data Protection Act B.E. 2562 (PDPA) — Credit Scoring Implications","Office of the Personal Data Protection Committee (PDPC)",https://www.pdpc.or.th/en/,2019-05-27,2022-06-01,Thailand,primary,regulatory_compliance,legislation,authoritative,th+en,"Thailand's primary data protection law. Credit scoring models must have lawful basis for processing, allow data subject rights, and permit human review of automated decisions.","lawful_basis; data_subject_rights; automated_decisions; cross_border_transfer","All Thai-market credit AI must document PDPA lawful basis. Automated rejection must allow human review.","pdpa; data_privacy; thai_market; automated_decisions; compliance","Office of the PDPC. (2022). Personal Data Protection Act B.E. 2562. Royal Gazette."
TH-SME-001,"SME Credit Risk Database and NaCGA Credit Guarantee Scheme","Bank of Thailand / NaCGA",https://www.bot.or.th/en/financial-system/sme-credit-risk.html,2021-01-01,2024-01-01,Thailand,primary,sme_lending,policy_document,authoritative,th+en,"BOT SME credit risk database and NaCGA partial guarantees enabling credit access for SMEs lacking collateral. Relevant for SME-specific scoring model design.","sme_credit_database; nacga_guarantee; alternative_financials; sme_credit_gap","SME models must account for NaCGA guarantee interactions and BOT SME reporting requirements.","sme_lending; thai_market; credit_guarantee; alternative_data","Bank of Thailand. (2024). SME Credit Risk Database. Bank of Thailand."
TH-ADB-001,"ADB Working Paper: Access to Finance for SMEs in Thailand","Asian Development Bank (ADB)",https://www.adb.org/publications/access-finance-smes-thailand,2021-01-01,2021-01-01,Thailand,primary,sme_lending,research_paper,high,en,"ADB analysis of Thai SME financing barriers. Cash flow-based lending outperforms collateral-based. Alternative data (tax, utility, e-commerce) can bridge gaps.","sme_barriers; cash_flow_lending; alternative_data; policy_recommendations",",,","sme_lending; thai_market; credit_gap; alternative_data","Asian Development Bank. (2021). Access to Finance for SMEs in Thailand. ADB Working Paper."
TH-ASEAN-001,"ASEAN SME Financing Benchmark and Digital Lending Landscape","ASEAN Secretariat / ADB",https://www.adb.org/publications/asean-sme-financing-benchmark,2022-01-01,2022-01-01,ASEAN,regional_context,sme_lending,research_report,high,en,"ASEAN benchmark on SME financing and digital lending. Thailand SME credit ~40% GDP. Invoice/supply chain finance most promising. Data sharing between tax/banks would unlock scoring improvements.","sme_credit_penetration; digital_lending; invoice_finance; data_sharing",",,","sme_lending; asean; digital_lending; alternative_data; supply_chain_finance","ASEAN Secretariat / ADB. (2022). ASEAN SME Financing Benchmark. ADB."
TH-FINTECH-001,"Bank of Thailand FinTech Regulatory Sandbox — Digital Lending","Bank of Thailand (BOT)",https://www.bot.or.th/en/financial-institutions/financial-innovation/regulatory-sandbox/digital-lending.html,2022-01-01,2024-01-01,Thailand,primary,regulatory_compliance,regulatory_framework,authoritative,th+en,"BOT sandbox for FinTech digital lending. Allows testing of AI credit scoring under regulatory supervision. Alternative data (telecom, e-wallet) permitted under sandbox.","fintech_sandbox; ai_credit_scoring; alternative_data; sandbox_graduation","New AI credit scoring systems in Thailand may benefit from sandbox participation.","regulatory_sandbox; fintech; thai_market; digital_lending; alternative_data","Bank of Thailand. (2024). FinTech Regulatory Sandbox — Digital Lending. Bank of Thailand."
TH-TFRS9-001,"Thai Financial Reporting Standard 9 (TFRS 9) — Expected Credit Loss (ECL)","Federation of Accounting Professions (FAP) Thailand",https://www.fap.or.th/tfrs9,2020-01-01,2023-01-01,Thailand,primary,regulatory_compliance,accounting_standard,authoritative,th+en,"Thai IFRS 9 adoption requiring forward-looking ECL provisioning using PD×LGD×EAD models. Three-stage model. Macro-economic overlays required. Effective 2020.","ecl_stages; sicr; pit_pd; macro_overlay","Thai banks must maintain TFRS 9 ECL models. Credit scoring PD feeds ECL. Model alignment critical.","tfrs9; ecl; pd_model; regulatory_compliance; thai_market; ifrs9","Federation of Accounting Professions. (2020). Thai Financial Reporting Standard 9. FAP Thailand."
